Time (fs)	Raw data (15300, 15300)	Fitted trace	Residual
40	0.8537	0.86951	-0.01581
48	0.8211	0.86113	-0.04003
56	0.80192	0.8532	-0.05128
64	0.79892	0.84571	-0.04679
72	0.8169	0.83863	-0.02173
80	0.82298	0.83192	-0.00894
88	0.80659	0.82558	-0.01898
96	0.85784	0.81957	0.03827
104	0.86624	0.81388	0.05236
112	0.87241	0.80849	0.06392
120	0.89479	0.80337	0.09142
128	0.86668	0.79852	0.06815
136	0.84151	0.79392	0.04758
144	0.82627	0.78956	0.03671
152	0.81326	0.78541	0.02785
160	0.80532	0.78147	0.02385
168	0.7871	0.77772	0.00938
176	0.77269	0.77415	-0.00147
184	0.76582	0.77076	-0.00494
192	0.7572	0.76753	-0.01033
200	0.7518	0.76445	-0.01265
208	0.72829	0.76151	-0.03322
216	0.70234	0.75871	-0.05637
224	0.69473	0.75604	-0.06131
232	0.70458	0.75348	-0.04891
240	0.70556	0.75104	-0.04549
248	0.72594	0.74871	-0.02277
256	0.74915	0.74647	0.00268
264	0.75774	0.74433	0.01341
272	0.75208	0.74227	0.00981
280	0.74718	0.7403	0.00688
288	0.75493	0.73841	0.01653
296	0.75828	0.73659	0.02169
304	0.76705	0.73484	0.03221
312	0.77694	0.73315	0.04378
320	0.75981	0.73153	0.02828
328	0.74177	0.72997	0.0118
336	0.74342	0.72846	0.01496
344	0.72286	0.727	-0.00414
352	0.69883	0.72559	-0.02677
360	0.7049	0.72423	-0.01934
368	0.69765	0.72291	-0.02527
376	0.69962	0.72164	-0.02202
384	0.69171	0.7204	-0.02868
392	0.68575	0.7192	-0.03345
400	0.68568	0.71803	-0.03235
408	0.68126	0.71689	-0.03564
416	0.67474	0.71579	-0.04105
424	0.67447	0.71472	-0.04024
432	0.68642	0.71367	-0.02725
440	0.70537	0.71265	-0.00728
448	0.71858	0.71165	0.00693
456	0.73582	0.71068	0.02514
464	0.72921	0.70973	0.01948
472	0.72175	0.7088	0.01295
480	0.70856	0.70789	6.68E-04
488	0.70829	0.707	0.0013
496	0.70416	0.70613	-0.00197
504	0.70353	0.70527	-0.00174
512	0.6962	0.70443	-0.00823
520	0.70116	0.70361	-0.00245
528	0.6996	0.7028	-0.00319
536	0.68463	0.702	-0.01737
544	0.69602	0.70122	-0.0052
552	0.69785	0.70045	-0.0026
560	0.7068	0.69969	0.00711
568	0.69889	0.69894	-5.10E-05
576	0.68945	0.69821	-0.00876
584	0.69604	0.69748	-0.00145
592	0.69306	0.69677	-0.00371
600	0.70231	0.69606	0.00625
608	0.6999	0.69536	0.00453
616	0.69566	0.69467	9.86E-04
624	0.70102	0.69399	0.00703
632	0.71015	0.69332	0.01683
640	0.70144	0.69266	0.00878
648	0.6932	0.692	0.0012
656	0.68881	0.69135	-0.00254
664	0.67678	0.69071	-0.01393
672	0.68056	0.69007	-0.00951
680	0.68691	0.68944	-0.00253
688	0.6868	0.68881	-0.00202
696	0.68403	0.68819	-0.00416
704	0.67809	0.68758	-0.00949
712	0.67798	0.68697	-0.00899
720	0.68762	0.68637	0.00125
728	0.68811	0.68577	0.00234
736	0.68385	0.68518	-0.00133
744	0.6698	0.68459	-0.01479
752	0.66917	0.68401	-0.01484
760	0.6916	0.68343	0.00817
768	0.70049	0.68285	0.01764
776	0.69913	0.68228	0.01685
784	0.68527	0.68172	0.00355
792	0.691	0.68115	0.00985
800	0.68667	0.6806	0.00608
808	0.68044	0.68004	3.95E-04
816	0.68243	0.67949	0.00294
824	0.68753	0.67894	0.00859
832	0.67971	0.6784	0.00131
840	0.67292	0.67786	-0.00494
848	0.68017	0.67732	0.00285
856	0.68375	0.67679	0.00697
864	0.678	0.67626	0.00174
872	0.66942	0.67573	-0.00631
880	0.67088	0.67521	-0.00432
888	0.67083	0.67468	-0.00386
896	0.69034	0.67417	0.01617
904	0.69424	0.67365	0.02059
912	0.68309	0.67314	0.00995
920	0.67304	0.67263	4.10E-04
928	0.67444	0.67212	0.00231
936	0.67207	0.67162	4.51E-04
944	0.6706	0.67112	-5.22E-04
952	0.67942	0.67062	0.0088
960	0.67937	0.67012	0.00924
968	0.67187	0.66963	0.00224
976	0.67806	0.66914	0.00891
984	0.67973	0.66865	0.01108
992	0.67128	0.66817	0.00311
1000	0.67043	0.66769	0.00275
1008	0.66617	0.6672	-0.00104
1016	0.66465	0.66673	-0.00207
1024	0.67078	0.66625	0.00453
1032	0.67368	0.66578	0.00791
1040	0.6718	0.66531	0.00649
1048	0.66658	0.66484	0.00174
1056	0.66538	0.66437	0.001
1064	0.66194	0.66391	-0.00197
1072	0.66143	0.66345	-0.00202
1080	0.65571	0.66299	-0.00727
1088	0.67347	0.66253	0.01094
1096	0.67528	0.66208	0.0132
1104	0.68059	0.66162	0.01896
1112	0.67777	0.66117	0.0166
1120	0.65971	0.66072	-0.00101
1128	0.66571	0.66028	0.00543
1136	0.66464	0.65983	0.00481
1144	0.67077	0.65939	0.01138
1152	0.65031	0.65895	-0.00864
1160	0.65736	0.65851	-0.00115
1168	0.66302	0.65808	0.00494
1176	0.6666	0.65765	0.00895
1184	0.65996	0.65721	0.00275
1192	0.65584	0.65678	-9.41E-04
1200	0.64959	0.65636	-0.00677
